,motor_timestamp,m1,m2,m3,m4,bat_timestamp,bat_volt,cmd_timestamp,cmd_thrust,cmd_act_thrust,cmd_roll,cmd_pitch,cmd_yawrate,stabilizer_timestamp,stabilizer_thrust,des_timestamp,des_x,des_y,des_z,des_vx,des_vy,des_vz,mocap_output_timestamp,mocap_x,mocap_y,mocap_z,mocap_qx,mocap_qy,mocap_qz,mocap_qw,stateZ_timestamp,stateZ_x,stateZ_y,stateZ_z,stateZ_quat,stateZ_vx,stateZ_vy,stateZ_vz,stateZ_rollrate,stateZ_pitchrate,stateZ_yawrate
0,8917.0,0.0,0.0,0.0,0.0,8916.0,3.879765272140503,,,,,,,,,2.0895586013793945,0.0,0.0,0.024,0.005,0.004,-0.006,,,,,,,,,8914.0,0.0,0.0,0.0,-536870400.0,1.0,0.0,0.0,2.0,-2.0,0.0
1,8927.0,0.0,0.0,0.0,0.0,8926.0,3.8744866847991943,,,,,,,,,2.1195480823516846,0.0,0.0,0.024,-0.003,-0.003,-0.005,,,,,,,,,8924.0,0.0,0.0,43.0,-1073217024.0,0.0,-3.0,0.0,-6.0,0.0,0.0
2,8937.0,0.0,0.0,0.0,0.0,8936.0,3.8744866847991943,,,,,,,,,2.1315128803253174,0.0,0.0,0.024,0.004,0.0,-0.005,,,,,,,,,8934.0,0.0,0.0,43.0,-1073217024.0,1.0,-3.0,0.0,-1.0,0.0,-2.0
3,8947.0,0.0,0.0,0.0,0.0,8946.0,3.879765272140503,,,,,,,,,2.143512010574341,0.0,0.0,0.028,0.004,0.0,0.021,,,,,,,,,8944.0,0.0,0.0,21.0,-535821824.0,3.0,3.0,0.0,-1.0,-1.0,-3.0
4,8957.0,0.0,0.0,0.0,0.0,8956.0,3.879765272140503,,,,,,,,,2.155477285385132,0.001,0.001,0.029,0.008,0.011,0.022,,,,,,,,,8954.0,0.0,0.0,21.0,-536870400.0,5.0,1.0,0.0,2.0,-2.0,0.0
5,8967.0,0.0,0.0,0.0,0.0,8966.0,3.879765272140503,,,,,,,,,2.1689648628234863,0.001,0.001,0.029,0.008,0.011,0.021,,,,,,,,,8964.0,0.0,0.0,21.0,-536870400.0,5.0,0.0,0.0,0.0,-2.0,0.0
6,8977.0,0.0,0.0,0.0,0.0,8976.0,3.879765272140503,,,,,,,,,2.18111252784729,0.0,0.0,0.025,0.005,0.012,-0.002,,,,,,,,,8974.0,0.0,0.0,21.0,-1073217024.0,1.0,-4.0,0.0,0.0,-5.0,2.0
7,8987.0,0.0,0.0,0.0,0.0,8986.0,3.879765272140503,,,,,,,,,2.196505308151245,0.0,0.0,0.025,0.0,0.01,0.004,,,,,,,,,8984.0,0.0,0.0,21.0,-535821824.0,4.0,2.0,0.0,0.0,2.0,-3.0
8,8997.0,0.0,0.0,0.0,0.0,8996.0,3.879765272140503,,,,,,,,,2.215461254119873,0.0,0.0,0.025,-0.009,0.013,0.007,,,,,,,,,8994.0,0.0,0.0,27.0,-536345088.0,-1.0,-1.0,8.0,0.0,-1.0,1.0
9,9007.0,0.0,0.0,0.0,0.0,9006.0,3.879765272140503,,,,,,,,,2.235910654067993,-0.001,-0.001,0.028,-0.011,0.027,0.022,,,,,,,,,9004.0,0.0,0.0,27.0,-535821824.0,6.0,3.0,7.0,0.0,0.0,1.0
10,9017.0,0.0,0.0,0.0,0.0,9016.0,3.879765272140503,,,,,,,,,2.2561450004577637,-0.002,-0.002,0.03,-0.022,0.044,0.051,,,,,,,,,9014.0,0.0,0.0,27.0,-1073217024.0,2.0,-5.0,7.0,-2.0,0.0,1.0
11,9027.0,0.0,0.0,0.0,0.0,9026.0,3.879765272140503,,,,,,,,,2.277465343475342,-0.004,-0.004,0.031,-0.033,0.051,0.076,,,,,,,,,9024.0,0.0,0.0,28.0,-534773248.0,7.0,3.0,7.0,4.0,0.0,-3.0
12,9037.0,0.0,0.0,0.0,0.0,9036.0,3.879765272140503,,,,,,,,,2.2979207038879395,-0.008,-0.008,0.033,-0.06,0.062,0.118,,,,,,,,,9034.0,0.0,0.0,24.0,-536345088.0,0.0,-2.0,-3.0,-5.0,0.0,0.0
13,9047.0,0.0,0.0,0.0,0.0,9046.0,3.8744866847991943,,,,,,,,,2.3177788257598877,-0.013,-0.013,0.028,-0.088,0.086,0.121,,,,,,,,,9044.0,0.0,0.0,24.0,-535296512.0,0.0,0.0,-3.0,0.0,2.0,0.0
14,9057.0,0.0,0.0,0.0,0.0,9056.0,3.879765272140503,,,,,,,,,2.338355302810669,-0.018,-0.018,0.029,-0.12,0.163,0.151,,,,,,,,,9054.0,0.0,0.0,24.0,-534773248.0,6.0,4.0,-3.0,0.0,0.0,-4.0
15,9067.0,0.0,0.0,0.0,0.0,9066.0,3.879765272140503,,,,,,,,,2.359415292739868,-0.021,-0.021,0.027,-0.132,0.152,0.159,,,,,,,,,9064.0,0.0,0.0,24.0,-535821824.0,6.0,0.0,-3.0,2.0,0.0,-1.0
16,9077.0,0.0,0.0,0.0,0.0,9076.0,3.8744866847991943,,,,,,,,,2.3799285888671875,-0.026,-0.026,0.03,-0.159,0.146,0.191,,,,,,,,,9074.0,0.0,0.0,27.0,-534773248.0,8.0,6.0,12.0,0.0,1.0,0.0
17,9087.0,0.0,0.0,0.0,0.0,9086.0,3.879765272140503,,,,,,,,,2.4001150131225586,-0.028,-0.028,0.029,-0.16,0.134,0.201,,,,,,,,,9084.0,0.0,0.0,27.0,-536345088.0,-1.0,-3.0,12.0,2.0,1.0,0.0
18,9097.0,0.0,0.0,0.0,0.0,9096.0,3.879765272140503,,,,,,,,,2.419908046722412,-0.025,-0.025,0.035,-0.134,0.079,0.236,,,,,,,,,9094.0,0.0,0.0,27.0,-535821824.0,8.0,4.0,12.0,0.0,3.0,-3.0
19,9107.0,0.0,0.0,0.0,0.0,9106.0,3.8744866847991943,,,,,,,,,2.4395368099212646,-0.029,-0.029,0.041,-0.137,0.058,0.27,,,,,,,,,9104.0,0.0,0.0,27.0,-1072167424.0,4.0,-8.0,12.0,-3.0,3.0,-4.0
20,9117.0,0.0,0.0,0.0,0.0,9116.0,3.879765272140503,,,,,,,,,2.4598026275634766,-0.033,-0.033,0.047,-0.144,0.043,0.29,,,,,,,,,9114.0,0.0,0.0,27.0,-1073216000.0,1.0,-8.0,13.0,2.0,3.0,2.0
