,motor_timestamp,m1,m2,m3,m4,bat_timestamp,bat_volt,cmd_timestamp,cmd_thrust,cmd_act_thrust,cmd_roll,cmd_pitch,cmd_yawrate,stabilizer_timestamp,stabilizer_thrust,des_timestamp,des_x,des_y,des_z,des_vx,des_vy,des_vz,mocap_output_timestamp,mocap_x,mocap_y,mocap_z,mocap_qx,mocap_qy,mocap_qz,mocap_qw,stateZ_timestamp,stateZ_x,stateZ_y,stateZ_z,stateZ_quat,stateZ_vx,stateZ_vy,stateZ_vz,stateZ_rollrate,stateZ_pitchrate,stateZ_yawrate
0,20825.0,0.0,0.0,0.0,0.0,20824.0,3.8058650493621826,,,,,,,,,2.073187828063965,0.0,0.0,0.026,0.0,-0.004,0.0,,,,,,,,,20822.0,0.0,0.0,27.0,-536346112.0,2.0,-3.0,0.0,-2.0,1.0,-1.0
1,20835.0,0.0,0.0,0.0,0.0,20834.0,3.8058650493621826,,,,,,,,,2.096224308013916,0.0,0.0,0.025,0.0,-0.003,-0.007,,,,,,,,,20832.0,0.0,0.0,27.0,-536346112.0,3.0,-4.0,0.0,-1.0,-3.0,0.0
2,20845.0,0.0,0.0,0.0,0.0,20844.0,3.8058650493621826,,,,,,,,,2.1138203144073486,0.0,0.0,0.025,0.0,-0.002,-0.007,,,,,,,,,20842.0,0.0,0.0,27.0,-1073217024.0,2.0,-6.0,0.0,0.0,-6.0,-1.0
3,20855.0,0.0,0.0,0.0,0.0,20854.0,3.8058650493621826,,,,,,,,,2.1258435249328613,0.0,0.0,0.025,-0.003,-0.001,-0.007,,,,,,,,,20852.0,0.0,0.0,26.0,-1073217536.0,0.0,-11.0,0.0,1.0,4.0,3.0
4,20865.0,0.0,0.0,0.0,0.0,20864.0,3.8058650493621826,,,,,,,,,2.1376659870147705,0.0,0.0,0.026,-0.004,0.004,-0.003,,,,,,,,,20862.0,0.0,0.0,27.0,-535298048.0,3.0,-3.0,0.0,0.0,6.0,0.0
5,20875.0,0.0,0.0,0.0,0.0,20874.0,3.8058650493621826,,,,,,,,,2.1520981788635254,-0.001,-0.001,0.026,-0.009,0.004,-0.003,,,,,,,,,20872.0,0.0,0.0,27.0,-535298048.0,5.0,-4.0,0.0,1.0,-5.0,5.0
6,20885.0,0.0,0.0,0.0,0.0,20884.0,3.8058650493621826,,,,,,,,,2.1655211448669434,0.0,0.0,0.025,-0.006,0.005,-0.001,,,,,,,,,20882.0,0.0,0.0,27.0,-1073217536.0,6.0,-9.0,0.0,0.0,-1.0,0.0
7,20895.0,0.0,0.0,0.0,0.0,20894.0,3.8058650493621826,,,,,,,,,2.1820273399353027,0.0,0.0,0.026,-0.005,0.006,0.009,,,,,,,,,20892.0,0.0,0.0,27.0,-1073217536.0,7.0,-10.0,0.0,-1.0,-2.0,-5.0
8,20905.0,0.0,0.0,0.0,0.0,20904.0,3.8058650493621826,,,,,,,,,2.201181173324585,0.0,0.0,0.026,-0.004,0.007,0.011,,,,,,,,,20902.0,0.0,0.0,27.0,-536345600.0,2.0,-9.0,0.0,3.0,3.0,0.0
9,20915.0,0.0,0.0,0.0,0.0,20914.0,3.8058650493621826,,,,,,,,,2.2238945960998535,0.0,0.0,0.027,-0.007,0.002,0.02,,,,,,,,,20912.0,0.0,0.0,27.0,-536345600.0,6.0,-9.0,0.0,0.0,0.0,-1.0
