,motor_timestamp,m1,m2,m3,m4,bat_timestamp,bat_volt,cmd_timestamp,cmd_thrust,cmd_act_thrust,cmd_roll,cmd_pitch,cmd_yawrate,stabilizer_timestamp,des_x,des_y,des_z,des_timestamp,des_vx,des_vy,des_vz,cmd_ax,cmd_ay,cmd_az,mocap_output_timestamp,mocap_x,mocap_y,mocap_z,mocap_qx,mocap_qy,mocap_qz,mocap_qw,stateZ_timestamp,stateZ_x,stateZ_y,stateZ_z,stateZ_quat,stateZ_vx,stateZ_vy,stateZ_vz,stateZ_rollrate,stateZ_pitchrate,stateZ_yawrate
0,11245.0,0.0,0.0,0.0,0.0,11243.0,3.9167158603668213,,,,,,,,-0.001,-0.001,0.025,2.1296982765197754,-0.013,-0.01,-0.002,0.0,0.0,0.0,,,,,,,,,11242.0,0.0,0.0,0.0,-536346624.0,1.0,-8.0,0.0,-4.0,-2.0,-4.0
1,11255.0,0.0,0.0,0.0,0.0,11253.0,3.9167158603668213,,,,,,,,0.0,0.0,0.025,2.1800191402435303,-0.007,-0.004,0.002,0.0,0.0,0.0,,,,,,,,,11252.0,0.0,0.0,0.0,-536346112.0,-1.0,-9.0,0.0,4.0,2.0,0.0
2,11265.0,0.0,0.0,0.0,0.0,11263.0,3.9167158603668213,,,,,,,,-0.001,-0.001,0.026,2.197880506515503,-0.006,-0.003,0.002,0.0,0.0,0.0,,,,,,,,,11262.0,0.0,0.0,584.0,-536870400.0,-1.0,-9.0,0.0,0.0,-5.0,0.0
3,11275.0,0.0,0.0,0.0,0.0,11273.0,3.9167158603668213,,,,,,,,0.0,0.0,0.026,2.2100319862365723,-0.003,-0.007,0.002,0.0,0.0,0.0,,,,,,,,,11272.0,0.0,0.0,584.0,-536870400.0,-2.0,-10.0,0.0,0.0,-1.0,5.0
4,11285.0,0.0,0.0,0.0,0.0,11283.0,3.9167158603668213,,,,,,,,-0.001,-0.001,0.025,2.225320816040039,-0.002,-0.002,0.001,0.0,0.0,0.0,,,,,,,,,11282.0,0.0,0.0,28.0,-536870400.0,-4.0,-7.0,0.0,1.0,2.0,1.0
5,11295.0,0.0,0.0,0.0,0.0,11293.0,3.9167158603668213,,,,,,,,0.0,0.0,0.025,2.239474058151245,0.0,-0.004,0.001,0.0,0.0,0.0,,,,,,,,,11292.0,0.0,0.0,28.0,-1073740288.0,-1.0,-10.0,0.0,2.0,-5.0,1.0
6,11305.0,0.0,0.0,0.0,0.0,11303.0,3.9167158603668213,,,,,,,,0.0,0.0,0.025,2.2528836727142334,0.002,0.007,0.004,0.0,0.0,0.0,,,,,,,,,11302.0,0.0,0.0,28.0,-1073741312.0,-4.0,-12.0,0.0,4.0,0.0,4.0
7,11315.0,0.0,0.0,0.0,0.0,11313.0,3.9167158603668213,,,,,,,,-0.001,-0.001,0.026,2.271829128265381,0.0,0.0,0.012,0.0,0.0,0.0,,,,,,,,,11312.0,0.0,0.0,28.0,-536869376.0,-4.0,-11.0,1.0,1.0,0.0,0.0
8,11325.0,0.0,0.0,0.0,0.0,11323.0,3.9167158603668213,,,,,,,,0.0,0.0,0.026,2.2929725646972656,0.005,0.002,0.015,0.0,0.0,0.0,,,,,,,,,11322.0,0.0,0.0,25.0,-535821312.0,-5.0,-8.0,0.0,0.0,0.0,-3.0
9,11335.0,0.0,0.0,0.0,0.0,11333.0,3.9167158603668213,,,,,,,,0.0,0.0,0.027,2.3121583461761475,0.011,0.003,0.022,0.0,0.0,0.0,,,,,,,,,11332.0,0.0,0.0,25.0,-536869376.0,-6.0,-10.0,0.0,0.0,0.0,5.0
10,11345.0,0.0,0.0,0.0,0.0,11343.0,3.9167158603668213,,,,,,,,0.002,0.002,0.027,2.332036018371582,0.029,0.002,0.037,0.0,0.0,0.0,,,,,,,,,11342.0,0.0,0.0,25.0,-535820800.0,-7.0,-9.0,0.0,3.0,3.0,-2.0
11,11355.0,0.0,0.0,0.0,0.0,11353.0,3.9167158603668213,,,,,,,,0.003,0.003,0.027,2.352965831756592,0.036,-0.004,0.06,0.0,0.0,0.0,,,,,,,,,11352.0,0.0,0.0,25.0,-535820800.0,-8.0,-10.0,0.0,1.0,-4.0,-5.0
12,11365.0,0.0,0.0,0.0,0.0,11363.0,3.9167158603668213,,,,,,,,0.005,0.005,0.028,2.3737311363220215,0.045,0.0,0.103,0.0,0.0,0.0,,,,,,,,,11362.0,0.0,-1.0,26.0,-535820800.0,-9.0,-11.0,0.0,0.0,1.0,-1.0
13,11375.0,0.0,0.0,0.0,0.0,11373.0,3.9167158603668213,,,,,,,,0.005,0.005,0.031,2.3941729068756104,0.034,-0.009,0.152,0.0,0.0,0.0,,,,,,,,,11372.0,0.0,-1.0,26.0,-1073217024.0,-17.0,-14.0,0.0,0.0,2.0,-1.0
14,11385.0,0.0,0.0,0.0,0.0,11383.0,3.9167158603668213,,,,,,,,0.009,0.009,0.029,2.414992332458496,0.046,0.007,0.191,0.0,0.0,0.0,,,,,,,,,11382.0,0.0,-1.0,26.0,-535820800.0,-14.0,-11.0,1.0,0.0,1.0,-1.0
15,11395.0,0.0,0.0,0.0,0.0,11393.0,3.9167158603668213,,,,,,,,0.007,0.007,0.027,2.4411230087280273,0.02,0.037,0.202,0.0,0.0,0.0,,,,,,,,,11392.0,0.0,-1.0,26.0,-535820800.0,-16.0,-12.0,1.0,-2.0,0.0,1.0
16,11405.0,0.0,0.0,0.0,0.0,11403.0,3.9167158603668213,,,,,,,,0.012,0.012,0.031,2.462106943130493,0.033,0.058,0.239,0.0,0.0,0.0,,,,,,,,,11402.0,0.0,0.0,26.0,-534772224.0,-14.0,-3.0,1.0,1.0,2.0,-1.0
17,11415.0,0.0,0.0,0.0,0.0,11413.0,3.9167158603668213,,,,,,,,0.009,0.009,0.036,2.482239246368408,0.005,0.107,0.271,0.0,0.0,0.0,,,,,,,,,11412.0,0.0,0.0,25.0,-534772224.0,-14.0,-5.0,-5.0,1.0,-4.0,2.0
18,11425.0,0.0,0.0,0.0,0.0,11423.0,3.9167158603668213,,,,,,,,0.004,0.004,0.039,2.503298044204712,-0.033,0.127,0.288,0.0,0.0,0.0,,,,,,,,,11422.0,0.0,0.0,25.0,-534772736.0,-14.0,-2.0,-5.0,2.0,-3.0,0.0
19,11435.0,0.0,0.0,0.0,0.0,11433.0,3.9167158603668213,,,,,,,,0.001,0.001,0.053,2.5278122425079346,-0.056,0.107,0.346,0.0,0.0,0.0,,,,,,,,,11432.0,0.0,-1.0,25.0,-534771200.0,-15.0,-6.0,-5.0,0.0,0.0,0.0
20,11445.0,0.0,0.0,0.0,0.0,11443.0,3.9167158603668213,,,,,,,,0.0,0.0,0.06,2.553462266921997,-0.07,0.096,0.364,0.0,0.0,0.0,,,,,,,,,11442.0,0.0,-1.0,24.0,-534771200.0,-16.0,-7.0,-4.0,1.0,2.0,0.0
21,11455.0,0.0,0.0,0.0,0.0,11453.0,3.9167158603668213,,,,,,,,-0.003,-0.003,0.07,2.57377552986145,-0.081,0.086,0.386,0.0,0.0,0.0,,,,,,,,,11452.0,-1.0,-1.0,25.0,-534771200.0,-17.0,-7.0,-2.0,1.0,0.0,1.0
22,11465.0,0.0,0.0,0.0,0.0,11463.0,3.9167158603668213,,,,,,,,0.001,0.001,0.082,2.5941905975341797,-0.053,0.03,0.388,0.0,0.0,0.0,,,,,,,,,11462.0,-1.0,-1.0,25.0,-534771200.0,-18.0,-7.0,-2.0,0.0,0.0,-3.0
23,11475.0,45430.0,45390.0,45441.0,45408.0,11473.0,3.92199444770813,,,,,,,,0.003,0.003,0.092,2.617866039276123,-0.036,0.023,0.397,0.0,0.0,0.0,,,,,,,,,11472.0,-1.0,-1.0,25.0,-535819776.0,-14.0,-10.0,-2.0,2.0,-3.0,1.0
24,11485.0,45454.0,45733.0,45497.0,45386.0,11483.0,3.9167158603668213,,,,,,,,0.004,0.004,0.1,2.6389145851135254,-0.025,0.024,0.391,0.0,0.0,0.0,,,,,,,,,11482.0,-1.0,-1.0,25.0,-535820288.0,-13.0,-10.0,-2.0,-2.0,1.0,0.0
25,11495.0,56630.0,55955.0,56112.0,56646.0,11493.0,3.1671555042266846,,,,,,,,0.005,0.005,0.118,2.6646854877471924,-0.016,0.002,0.413,0.0,0.0,0.0,,,,,,,,,11492.0,-1.0,-1.0,25.0,-535819776.0,-12.0,-7.0,-2.0,-2.0,6.0,-3.0
26,11505.0,59367.0,60825.0,59851.0,59133.0,11503.0,2.9824047088623047,,,,,,,,0.004,0.004,0.126,2.686176061630249,-0.016,-0.019,0.404,0.0,0.0,0.0,,,,,,,,,11502.0,0.0,-1.0,25.0,-534770688.0,-7.0,-4.0,2.0,-3.0,-8.0,-1.0
27,11515.0,59764.0,59192.0,60214.0,60236.0,11513.0,2.9824047088623047,,,,,,,,0.003,0.003,0.132,2.7106051445007324,-0.016,-0.036,0.382,0.0,0.0,0.0,,,,,,,,,11512.0,-1.0,-1.0,26.0,-534770176.0,-6.0,-3.0,2.0,-11.0,-4.0,90.0
28,11525.0,65192.0,64461.0,65535.0,64935.0,11523.0,2.7343108654022217,,,,,,,,0.002,0.002,0.14,2.7323238849639893,-0.02,-0.044,0.374,0.0,0.0,0.0,,,,,,,,,11522.0,0.0,-2.0,26.0,-535818752.0,-3.0,-7.0,2.0,17.0,9.0,10.0
29,11535.0,65535.0,64378.0,62851.0,64497.0,11533.0,2.6973607540130615,,,,,,,,0.002,0.002,0.146,2.752173900604248,-0.021,-0.066,0.354,0.0,0.0,0.0,,,,,,,,,11532.0,-1.0,-1.0,26.0,-534770688.0,-3.0,-2.0,2.0,-19.0,39.0,-46.0
30,11545.0,65535.0,64908.0,64013.0,64858.0,11543.0,2.623460531234741,,,,,,,,0.001,0.001,0.153,2.771974563598633,-0.022,-0.075,0.343,0.0,0.0,0.0,,,,,,,,,11542.0,-1.0,-1.0,25.0,-534770688.0,-2.0,-2.0,1.0,-15.0,-6.0,15.0
31,11555.0,65511.0,64740.0,65192.0,65535.0,11553.0,2.6340177059173584,,,,,,,,0.0,0.0,0.16,2.7939178943634033,-0.024,-0.084,0.335,0.0,0.0,0.0,,,,,,,,,11552.0,0.0,-1.0,25.0,-535818752.0,0.0,-4.0,1.0,2.0,15.0,-6.0
32,11565.0,64571.0,63454.0,63458.0,65535.0,11563.0,2.676246404647827,,,,,,,,0.0,0.0,0.17,2.8141591548919678,-0.023,-0.091,0.321,0.0,0.0,0.0,,,,,,,,,11562.0,0.0,-2.0,25.0,-535818752.0,0.0,-4.0,2.0,-13.0,-3.0,-43.0
33,11575.0,64028.0,63307.0,63722.0,65535.0,11573.0,2.676246404647827,,,,,,,,0.0,0.0,0.175,2.840585470199585,-0.023,-0.097,0.306,0.0,0.0,0.0,,,,,,,,,11572.0,0.0,0.0,25.0,-533721600.0,2.0,7.0,4.0,-16.0,-44.0,-63.0
34,11585.0,63721.0,62704.0,63876.0,65535.0,11583.0,2.729032278060913,,,,,,,,-0.001,-0.001,0.181,2.860182523727417,-0.021,-0.103,0.302,0.0,0.0,0.0,,,,,,,,,11582.0,0.0,-1.0,26.0,-534769152.0,3.0,0.0,9.0,-72.0,-45.0,-45.0
35,11595.0,64245.0,62778.0,64304.0,65517.0,11593.0,2.792375326156616,,,,,,,,-0.001,-0.001,0.186,2.881237506866455,-0.019,-0.106,0.295,0.0,0.0,0.0,,,,,,,,,11592.0,-1.0,-1.0,26.0,-534770175.0,0.0,0.0,12.0,-91.0,-87.0,-2.0
36,11605.0,63473.0,62924.0,62634.0,63155.0,11603.0,2.845161199569702,,,,,,,,-0.001,-0.001,0.192,2.9015440940856934,-0.018,-0.109,0.292,0.0,0.0,0.0,,,,,,,,,11602.0,-1.0,-1.0,26.0,-533720576.0,1.0,0.0,14.0,-91.0,-63.0,8.0
37,11615.0,62819.0,62428.0,62078.0,62632.0,11613.0,2.871554374694824,,,,,,,,-0.002,-0.002,0.198,2.921844959259033,-0.017,-0.107,0.29,0.0,0.0,0.0,,,,,,,,,11612.0,0.0,-1.0,26.0,-533720576.0,5.0,2.0,15.0,-27.0,-34.0,-3.0
38,11625.0,62685.0,60452.0,60592.0,62187.0,11623.0,2.9190616607666016,,,,,,,,-0.002,-0.002,0.203,2.944307804107666,-0.017,-0.11,0.283,0.0,0.0,0.0,,,,,,,,,11622.0,0.0,-1.0,26.0,-533720576.0,9.0,3.0,18.0,-31.0,-7.0,26.0
39,11635.0,60432.0,61541.0,62689.0,61302.0,11633.0,2.9190616607666016,,,,,,,,-0.002,-0.002,0.209,2.964388608932495,-0.015,-0.105,0.282,0.0,0.0,0.0,,,,,,,,,11632.0,0.0,-1.0,27.0,-533719552.0,11.0,3.0,22.0,10.0,36.0,49.0
40,11645.0,59282.0,62328.0,61228.0,57972.0,11643.0,2.977126121520996,,,,,,,,-0.004,-0.004,0.218,2.984450578689575,-0.015,-0.098,0.287,0.0,0.0,0.0,,,,,,,,,11642.0,1.0,-1.0,27.0,-533719552.0,23.0,3.0,27.0,6.0,207.0,-3.0
41,11655.0,58831.0,60498.0,60248.0,57982.0,11653.0,3.019355058670044,,,,,,,,-0.004,-0.004,0.226,3.0078983306884766,-0.013,-0.096,0.302,0.0,0.0,0.0,,,,,,,,,11652.0,2.0,-1.0,27.0,-533719552.0,29.0,2.0,37.0,91.0,367.0,25.0
42,11665.0,58219.0,60808.0,59717.0,55629.0,11663.0,3.0510265827178955,,,,,,,,-0.004,-0.004,0.232,3.0277938842773438,-0.011,-0.091,0.304,0.0,0.0,0.0,,,,,,,,,11662.0,2.0,-1.0,28.0,-534769152.0,31.0,1.0,50.0,148.0,401.0,53.0
43,11675.0,57110.0,60384.0,59053.0,53744.0,11673.0,3.0932552814483643,,,,,,,,-0.005,-0.005,0.238,3.048208236694336,-0.01,-0.082,0.305,0.0,0.0,0.0,,,,,,,,,11672.0,3.0,-3.0,27.0,-535820288.0,36.0,-4.0,60.0,242.0,509.0,78.0
44,11685.0,55950.0,59406.0,58671.0,52652.0,11683.0,3.135483980178833,,,,,,,,-0.005,-0.005,0.246,3.0678977966308594,-0.01,-0.078,0.315,0.0,0.0,0.0,,,,,,,,,11682.0,4.0,-2.0,28.0,-536869887.0,39.0,0.0,80.0,264.0,541.0,103.0
45,11695.0,54000.0,58856.0,59768.0,52760.0,11693.0,3.135483980178833,,,,,,,,-0.005,-0.005,0.252,3.0878453254699707,-0.008,-0.07,0.316,0.0,0.0,0.0,,,,,,,,,11692.0,5.0,-2.0,28.0,-1072167935.0,45.0,0.0,103.0,158.0,707.0,121.0
46,11705.0,52553.0,58332.0,58756.0,50357.0,11703.0,3.188269853591919,,,,,,,,-0.006,-0.006,0.258,3.1089792251586914,-0.007,-0.064,0.313,0.0,0.0,0.0,,,,,,,,,11702.0,6.0,-3.0,30.0,-1071116287.0,45.0,-5.0,127.0,82.0,775.0,105.0
47,11715.0,51948.0,55974.0,58058.0,51084.0,11713.0,3.2199416160583496,,,,,,,,-0.006,-0.006,0.264,3.129587173461914,-0.004,-0.058,0.311,0.0,0.0,0.0,,,,,,,,,11712.0,5.0,-3.0,31.0,-1071113214.0,34.0,-9.0,152.0,24.0,806.0,146.0
48,11725.0,52250.0,55494.0,57420.0,50283.0,11723.0,3.2568917274475098,,,,,,,,-0.006,-0.006,0.271,3.149083375930786,-0.002,-0.052,0.304,0.0,0.0,0.0,,,,,,,,,11722.0,8.0,-4.0,26.0,-1071112190.0,49.0,-11.0,142.0,-108.0,660.0,195.0
49,11735.0,51732.0,54785.0,56253.0,49295.0,11733.0,3.2885632514953613,,,,,,,,-0.006,-0.006,0.277,3.1699206829071045,-0.002,-0.042,0.296,0.0,0.0,0.0,,,,,,,,,11732.0,9.0,0.0,27.0,-536336381.0,52.0,10.0,167.0,-122.0,572.0,197.0
50,11745.0,50397.0,53151.0,56224.0,49561.0,11743.0,3.3096776008605957,,,,,,,,-0.006,-0.006,0.284,3.1921229362487793,0.0,-0.033,0.29,0.0,0.0,0.0,,,,,,,,,11742.0,9.0,-1.0,29.0,-536334332.0,46.0,7.0,191.0,-83.0,555.0,180.0
51,11755.0,50580.0,51551.0,55501.0,50748.0,11753.0,3.3096776008605957,,,,,,,,-0.006,-0.006,0.289,3.213273763656616,0.001,-0.024,0.283,0.0,0.0,0.0,,,,,,,,,11752.0,8.0,-1.0,31.0,-536331260.0,30.0,4.0,214.0,-129.0,427.0,179.0
52,11765.0,49565.0,49602.0,55083.0,51058.0,11763.0,3.3360705375671387,,,,,,,,-0.006,-0.006,0.294,3.233469247817993,0.003,-0.016,0.268,0.0,0.0,0.0,,,,,,,,,11762.0,7.0,3.0,27.0,-532134907.0,20.0,37.0,202.0,-193.0,240.0,171.0
53,11775.0,50196.0,48635.0,54662.0,51734.0,11773.0,3.3519062995910645,,,,,,,,-0.006,-0.006,0.297,3.2471818923950195,0.003,-0.013,0.263,0.0,0.0,0.0,,,,,,,,,11772.0,12.0,8.0,29.0,-530038778.0,41.0,64.0,220.0,-253.0,50.0,169.0
54,11785.0,50924.0,46826.0,53330.0,52174.0,11783.0,3.3677420616149902,,,,,,,,-0.006,-0.006,0.299,3.259880781173706,0.004,-0.009,0.257,0.0,0.0,0.0,,,,,,,,,11782.0,12.0,7.0,31.0,-528990202.0,33.0,58.0,239.0,-186.0,-118.0,181.0
55,11795.0,51031.0,48552.0,52609.0,50002.0,11793.0,3.373020648956299,,,,,,,,0.0,0.0,0.304,3.2722790241241455,0.022,-0.001,0.247,0.0,0.0,0.0,,,,,,,,,11792.0,6.0,11.0,34.0,-526892025.0,-4.0,84.0,256.0,-64.0,-238.0,177.0
56,11805.0,51674.0,49269.0,51308.0,48427.0,11803.0,3.383577823638916,,,,,,,,-0.003,-0.003,0.306,3.2853355407714844,0.017,0.0,0.235,0.0,0.0,0.0,,,,,,,,,11802.0,9.0,16.0,36.0,-525844472.0,5.0,107.0,271.0,155.0,-259.0,162.0
57,11815.0,52567.0,50095.0,50475.0,47323.0,11813.0,3.383577823638916,,,,,,,,-0.002,-0.002,0.308,3.2982218265533447,0.02,0.0,0.229,0.0,0.0,0.0,,,,,,,,,11812.0,9.0,16.0,37.0,-526894072.0,-1.0,106.0,275.0,445.0,-280.0,170.0
58,11825.0,52776.0,50806.0,49468.0,45510.0,11823.0,3.394134998321533,,,,,,,,-0.002,-0.002,0.313,3.3105666637420654,0.021,0.005,0.218,0.0,0.0,0.0,,,,,,,,,11822.0,4.0,20.0,39.0,-526893047.0,-33.0,127.0,288.0,734.0,-280.0,172.0
59,11835.0,52850.0,51042.0,48823.0,44624.0,11833.0,3.399413585662842,,,,,,,,-0.002,-0.002,0.314,3.3256378173828125,0.021,0.008,0.209,0.0,0.0,0.0,,,,,,,,,11832.0,3.0,20.0,42.0,-531088374.0,-39.0,122.0,303.0,925.0,-253.0,161.0
60,11845.0,53337.0,51626.0,47675.0,42977.0,11843.0,3.4046921730041504,,,,,,,,-0.001,-0.001,0.316,3.338325023651123,0.022,0.012,0.203,0.0,0.0,0.0,,,,,,,,,11842.0,3.0,21.0,45.0,-535284726.0,-41.0,122.0,313.0,1084.0,-271.0,159.0
61,11855.0,52943.0,51745.0,47791.0,42136.0,11853.0,3.409970760345459,,,,,,,,-0.001,-0.001,0.318,3.3509490489959717,0.021,0.015,0.199,0.0,0.0,0.0,,,,,,,,,11852.0,1.0,20.0,53.0,-1069009909.0,-56.0,107.0,346.0,1184.0,-262.0,162.0
62,11865.0,52067.0,51123.0,47690.0,41462.0,11863.0,3.4152493476867676,,,,,,,,-0.001,-0.001,0.322,3.363621473312378,0.022,0.021,0.188,0.0,0.0,0.0,,,,,,,,,11862.0,0.0,20.0,57.0,-1064816629.0,-63.0,98.0,356.0,1154.0,-244.0,151.0
63,11875.0,51458.0,50229.0,48226.0,42223.0,11873.0,3.4152493476867676,,,,,,,,-0.002,-0.002,0.325,3.376716136932373,0.019,0.025,0.185,0.0,0.0,0.0,,,,,,,,,11872.0,0.0,21.0,60.0,-1060622324.0,-70.0,96.0,364.0,1022.0,-208.0,155.0
64,11885.0,49842.0,49227.0,49740.0,42919.0,11883.0,3.420527935028076,,,,,,,,-0.001,-0.001,0.326,3.389570713043213,0.019,0.028,0.181,0.0,0.0,0.0,,,,,,,,,11882.0,-1.0,21.0,64.0,-1056429043.0,-72.0,88.0,371.0,773.0,-222.0,161.0
65,11895.0,48967.0,47355.0,50165.0,44560.0,11893.0,3.4310851097106934,,,,,,,,-0.001,-0.001,0.33,3.406609296798706,0.018,0.034,0.172,0.0,0.0,0.0,,,,,,,,,11892.0,-3.0,22.0,70.0,-1054332915.0,-81.0,86.0,386.0,448.0,-218.0,158.0
66,11905.0,48438.0,45945.0,50064.0,45418.0,11903.0,3.436363697052002,,,,,,,,0.0,0.0,0.331,3.4202158451080322,0.019,0.036,0.165,0.0,0.0,0.0,,,,,,,,,11902.0,-3.0,22.0,74.0,-1052236786.0,-79.0,77.0,387.0,189.0,-289.0,143.0
67,11915.0,48301.0,44471.0,49794.0,46686.0,11913.0,3.446920871734619,,,,,,,,0.0,0.0,0.334,3.4334192276000977,0.018,0.041,0.158,0.0,0.0,0.0,,,,,,,,,11912.0,-1.0,17.0,78.0,-1050141682.0,-69.0,41.0,387.0,-5.0,-392.0,122.0
68,11925.0,49264.0,43910.0,48603.0,47209.0,11923.0,3.4521994590759277,,,,,,,,0.0,0.0,0.336,3.446502923965454,0.018,0.044,0.155,0.0,0.0,0.0,,,,,,,,,11922.0,1.0,17.0,82.0,-1050143729.0,-53.0,30.0,388.0,-161.0,-470.0,104.0
69,11935.0,49054.0,43500.0,48814.0,47618.0,11933.0,3.4521994590759277,,,,,,,,0.0,0.0,0.337,3.459423303604126,0.017,0.049,0.149,0.0,0.0,0.0,,,,,,,,,11932.0,3.0,18.0,86.0,-1051195377.0,-40.0,31.0,387.0,-296.0,-515.0,87.0
70,11945.0,48696.0,42888.0,48805.0,47797.0,11943.0,3.4521994590759277,,,,,,,,0.0,0.0,0.338,3.471796751022339,0.017,0.053,0.145,0.0,0.0,0.0,,,,,,,,,11942.0,3.0,18.0,92.0,-1052770289.0,-36.0,23.0,397.0,-364.0,-501.0,79.0
71,11955.0,48898.0,43636.0,48760.0,47256.0,11953.0,3.4521994590759277,,,,,,,,0.0,0.0,0.341,3.4842517375946045,0.016,0.058,0.141,0.0,0.0,0.0,,,,,,,,,11952.0,4.0,19.0,96.0,-1053816816.0,-30.0,21.0,393.0,-363.0,-430.0,72.0
72,11965.0,48645.0,45254.0,49067.0,45992.0,11963.0,3.4521994590759277,,,,,,,,0.0,0.0,0.343,3.4978954792022705,0.016,0.063,0.139,0.0,0.0,0.0,,,,,,,,,11962.0,4.0,21.0,100.0,-1055911920.0,-25.0,24.0,391.0,-315.0,-312.0,62.0
73,11975.0,48383.0,46338.0,49467.0,45241.0,11973.0,3.446920871734619,,,,,,,,0.0,0.0,0.345,3.510514974594116,0.017,0.064,0.141,0.0,0.0,0.0,,,,,,,,,11972.0,5.0,19.0,104.0,-1056959472.0,-21.0,10.0,390.0,-247.0,-140.0,43.0
74,11985.0,48387.0,47857.0,49474.0,43726.0,11983.0,3.446920871734619,,,,,,,,0.0,0.0,0.348,3.5229711532592773,0.016,0.068,0.136,0.0,0.0,0.0,,,,,,,,,11982.0,5.0,21.0,114.0,-1058008048.0,-20.0,13.0,417.0,-135.0,29.0,36.0
75,11995.0,47702.0,47885.0,49245.0,42702.0,11993.0,3.446920871734619,,,,,,,,0.0,0.0,0.349,3.5360474586486816,0.015,0.072,0.133,0.0,0.0,0.0,,,,,,,,,11992.0,5.0,20.0,118.0,-1058008047.0,-16.0,2.0,413.0,-66.0,151.0,22.0
76,12005.0,48184.0,48639.0,49058.0,42156.0,12003.0,3.4416422843933105,,,,,,,,0.0,0.0,0.35,3.548844814300537,0.014,0.073,0.133,0.0,0.0,0.0,,,,,,,,,12002.0,6.0,18.0,122.0,-1058008047.0,-9.0,-10.0,408.0,29.0,253.0,21.0
77,12015.0,48352.0,49410.0,48916.0,41319.0,12013.0,3.446920871734619,,,,,,,,0.0,0.0,0.352,3.56132435798645,0.013,0.074,0.131,0.0,0.0,0.0,,,,,,,,,12012.0,4.0,17.0,126.0,-1056961519.0,-16.0,-19.0,404.0,83.0,302.0,18.0
78,12025.0,48669.0,50343.0,48881.0,40416.0,12023.0,3.4416422843933105,,,,,,,,0.0,0.0,0.354,3.5737617015838623,0.012,0.078,0.131,0.0,0.0,0.0,,,,,,,,,12022.0,4.0,15.0,130.0,-1055913967.0,-16.0,-30.0,398.0,128.0,339.0,9.0
79,12035.0,48997.0,49559.0,49139.0,42149.0,12033.0,3.4416422843933105,,,,,,,,0.001,0.001,0.356,3.5868890285491943,0.013,0.079,0.129,0.0,0.0,0.0,,,,,,,,,12032.0,3.0,14.0,132.0,-1055914991.0,-16.0,-36.0,382.0,89.0,279.0,17.0
80,12045.0,49550.0,49318.0,49006.0,43150.0,12043.0,3.4310851097106934,,,,,,,,0.001,0.001,0.356,3.5994715690612793,0.011,0.078,0.12,0.0,0.0,0.0,,,,,,,,,12042.0,3.0,14.0,136.0,-1054343151.0,-18.0,-40.0,378.0,64.0,269.0,5.0
81,12055.0,48901.0,48737.0,49853.0,44034.0,12053.0,3.4310851097106934,,,,,,,,0.001,0.001,0.358,3.611971616744995,0.011,0.082,0.114,0.0,0.0,0.0,,,,,,,,,12052.0,2.0,14.0,140.0,-1054342127.0,-20.0,-44.0,374.0,-66.0,137.0,5.0
82,12065.0,49352.0,47176.0,49723.0,46170.0,12063.0,3.4258065223693848,,,,,,,,0.001,0.001,0.359,3.6251754760742188,0.011,0.085,0.111,0.0,0.0,0.0,,,,,,,,,12062.0,2.0,11.0,143.0,-1054341103.0,-19.0,-59.0,366.0,-150.0,63.0,-1.0
83,12075.0,49864.0,47668.0,49562.0,46184.0,12073.0,3.420527935028076,,,,,,,,0.001,0.001,0.36,3.638071060180664,0.009,0.085,0.108,0.0,0.0,0.0,,,,,,,,,12072.0,2.0,10.0,146.0,-1055389679.0,-21.0,-66.0,354.0,-281.0,-33.0,-2.0
84,12085.0,49772.0,47048.0,50132.0,47246.0,12083.0,3.420527935028076,,,,,,,,0.001,0.001,0.361,3.6504569053649902,0.009,0.087,0.107,0.0,0.0,0.0,,,,,,,,,12082.0,2.0,9.0,149.0,-1056439279.0,-20.0,-68.0,349.0,-406.0,-151.0,4.0
85,12095.0,49703.0,46342.0,50681.0,48385.0,12093.0,3.409970760345459,,,,,,,,0.002,0.002,0.363,3.6631245613098145,0.009,0.086,0.105,0.0,0.0,0.0,,,,,,,,,12092.0,1.0,8.0,153.0,-1057487855.0,-22.0,-75.0,343.0,-480.0,-229.0,7.0
86,12105.0,49964.0,46864.0,50772.0,48323.0,12103.0,3.4046921730041504,,,,,,,,0.002,0.002,0.365,3.676469326019287,0.009,0.086,0.107,0.0,0.0,0.0,,,,,,,,,12102.0,1.0,8.0,156.0,-1060110319.0,-21.0,-77.0,338.0,-533.0,-266.0,-2.0
87,12115.0,50170.0,46538.0,50823.0,48785.0,12113.0,3.4046921730041504,,,,,,,,0.001,0.001,0.367,3.689350128173828,0.006,0.088,0.101,0.0,0.0,0.0,,,,,,,,,12112.0,0.0,6.0,160.0,-1062206447.0,-24.0,-84.0,335.0,-557.0,-245.0,1.0
