,motor_timestamp,m1,m2,m3,m4,bat_timestamp,bat_volt,cmd_timestamp,cmd_thrust,cmd_act_thrust,cmd_roll,cmd_pitch,cmd_yawrate,stabilizer_timestamp,des_x,des_y,des_z,des_timestamp,mocap_output_timestamp,mocap_x,mocap_y,mocap_z,mocap_qx,mocap_qy,mocap_qz,mocap_qw,obs_x,obs_y,obs_z,stateZ_timestamp,stateZ_x,stateZ_y,stateZ_z,stateZ_quat,stateZ_vx,stateZ_vy,stateZ_vz,stateZ_ax,stateZ_ay,stateZ_az
0,28523.0,0.0,0.0,0.0,0.0,28522.0,3.8903229236602783,,,,,,,,0.001,-0.003,0.5,2.182445526123047,,-1.59170654296875,0.04360465240478516,0.009503697395324707,,,,,,,,28520.0,0.0,0.0,0.0,-536870400.0,0.0,-1.0,0.0,46.0,-162.0,9793.0
1,28533.0,0.0,0.0,0.0,0.0,28532.0,3.8903229236602783,,,,,,,,0.001,-0.003,0.5,2.202467679977417,,-1.591721923828125,0.04361600112915039,0.009516997337341309,,,,,,,,28530.0,0.0,0.0,18.0,-536870400.0,0.0,-3.0,0.0,46.0,-149.0,9775.0
2,28543.0,0.0,0.0,0.0,0.0,28542.0,3.8903229236602783,,,,,,,,0.001,-0.004,0.5,2.218646764755249,,-1.5918900146484376,0.04289704895019531,0.009770468711853027,,,,,,,,28540.0,0.0,0.0,18.0,-536870400.0,1.0,-4.0,0.0,43.0,-135.0,9820.0
3,28553.0,0.0,0.0,0.0,0.0,28552.0,3.8903229236602783,,,,,,,,0.001,-0.004,0.5,2.2363545894622803,,-1.591697998046875,0.04360837554931641,0.009479547500610351,,,,,,,,28550.0,0.0,0.0,18.0,-536870400.0,1.0,-5.0,0.0,46.0,-136.0,9814.0
4,28563.0,0.0,0.0,0.0,0.0,28562.0,3.8903229236602783,,,,,,,,0.001,-0.005,0.5,2.2530744075775146,,-1.5917132568359376,0.043624847412109376,0.009499357223510743,,,,,,,,28560.0,0.0,0.0,18.0,-536346112.0,2.0,-7.0,0.0,36.0,-132.0,9790.0
5,28573.0,0.0,0.0,0.0,0.0,28572.0,3.8903229236602783,,,,,,,,0.001,-0.005,0.5,2.2685916423797607,,-1.591717041015625,0.04360906982421875,0.009480469703674317,,,,,,,,28570.0,0.0,0.0,14.0,-536346112.0,2.0,-8.0,-4.0,38.0,-145.0,9803.0
6,28583.0,0.0,0.0,0.0,0.0,28582.0,3.8903229236602783,,,,,,,,0.002,-0.006,0.5,2.2803890705108643,,-1.5917508544921875,0.04338824462890625,0.00945841884613037,,,,,,,,28580.0,0.0,0.0,14.0,-536346112.0,3.0,-10.0,-4.0,61.0,-131.0,9806.0
7,28593.0,0.0,0.0,0.0,0.0,28592.0,3.8903229236602783,,,,,,,,0.002,-0.006,0.5,2.2945363521575928,,-1.5917039794921874,0.04323740768432617,0.009598873138427734,,,,,,,,28590.0,0.0,0.0,14.0,-536346112.0,3.0,-11.0,-5.0,52.0,-164.0,9789.0
8,28603.0,0.0,0.0,0.0,0.0,28602.0,3.8903229236602783,,,,,,,,0.002,-0.007,0.5,2.311476469039917,,-1.591684326171875,0.04360383224487305,0.009508772850036621,,,,,,,,28600.0,0.0,0.0,14.0,-536346112.0,4.0,-13.0,-5.0,57.0,-131.0,9795.0
9,28613.0,0.0,0.0,0.0,0.0,28612.0,3.8903229236602783,,,,,,,,0.002,-0.007,0.5,2.3259756565093994,,-1.5916949462890626,0.04359451293945313,0.009460688591003418,,,,,,,,28610.0,0.0,0.0,14.0,-536346112.0,4.0,-14.0,-5.0,50.0,-140.0,9808.0
